,tweet_id,expanded_urls,rating_numerator,rating_denominator,dog_class
2085,670804601705242624,https://twitter.com/dog_rates/status/670804601705242624/photo/1,10,10,
2084,670807719151067136,"https://twitter.com/dog_rates/status/670807719151067136/photo/1,https://twitter.com/dog_rates/status/670807719151067136/photo/1,https://twitter.com/dog_rates/status/670807719151067136/photo/1",11,10,
2083,670811965569282048,https://twitter.com/dog_rates/status/670811965569282048/photo/1,10,10,
2082,670815497391357952,https://twitter.com/dog_rates/status/670815497391357952/photo/1,10,10,
2081,670822709593571328,https://twitter.com/dog_rates/status/670822709593571328/photo/1,10,10,
2080,670823764196741120,https://twitter.com/dog_rates/status/670823764196741120/photo/1,12,10,
2079,670826280409919488,https://twitter.com/dog_rates/status/670826280409919488/photo/1,2,10,
2078,670832455012716544,https://twitter.com/dog_rates/status/670832455012716544/photo/1,10,10,
2077,670833812859932673,https://twitter.com/dog_rates/status/670833812859932673/photo/1,7,10,
2076,670838202509447168,https://twitter.com/dog_rates/status/670838202509447168/photo/1,4,10,
2075,670840546554966016,https://twitter.com/dog_rates/status/670840546554966016/photo/1,10,10,
2073,670995969505435648,"https://twitter.com/dog_rates/status/670995969505435648/photo/1,https://twitter.com/dog_rates/status/670995969505435648/photo/1,https://twitter.com/dog_rates/status/670995969505435648/photo/1",12,10,
2072,671109016219725825,https://twitter.com/dog_rates/status/671109016219725825/photo/1,8,10,
2071,671115716440031232,https://twitter.com/dog_rates/status/671115716440031232/photo/1,6,10,
2070,671122204919246848,https://twitter.com/dog_rates/status/671122204919246848/photo/1,4,10,
2069,671134062904504320,https://twitter.com/dog_rates/status/671134062904504320/photo/1,8,10,
2068,671138694582165504,https://twitter.com/dog_rates/status/671138694582165504/photo/1,10,10,
2067,671141549288370177,https://twitter.com/dog_rates/status/671141549288370177/photo/1,9,10,
2066,671147085991960577,https://twitter.com/dog_rates/status/671147085991960577/photo/1,9,10,
2065,671151324042559489,https://twitter.com/dog_rates/status/671151324042559489/photo/1,12,10,
2064,671154572044468225,https://twitter.com/dog_rates/status/671154572044468225/photo/1,11,10,
2063,671159727754231808,https://twitter.com/dog_rates/status/671159727754231808/photo/1,5,10,
2062,671163268581498880,https://twitter.com/dog_rates/status/671163268581498880/photo/1,8,10,
2061,671166507850801152,https://twitter.com/dog_rates/status/671166507850801152/photo/1,10,10,
2060,671182547775299584,https://twitter.com/dog_rates/status/671182547775299584/photo/1,12,10,
2059,671186162933985280,https://twitter.com/dog_rates/status/671186162933985280/photo/1,10,10,
2058,671347597085433856,"https://twitter.com/dog_rates/status/671347597085433856/photo/1,https://twitter.com/dog_rates/status/671347597085433856/photo/1",9,10,
2057,671355857343524864,https://twitter.com/dog_rates/status/671355857343524864/photo/1,10,10,
2056,671357843010908160,"https://twitter.com/dog_rates/status/671357843010908160/photo/1,https://twitter.com/dog_rates/status/671357843010908160/photo/1,https://twitter.com/dog_rates/status/671357843010908160/photo/1,https://twitter.com/dog_rates/status/671357843010908160/photo/1",9,10,
2055,671362598324076544,https://twitter.com/dog_rates/status/671362598324076544/photo/1,11,10,
2054,671390180817915904,https://twitter.com/dog_rates/status/671390180817915904/photo/1,7,10,
2053,671485057807351808,https://twitter.com/dog_rates/status/671485057807351808/photo/1,11,10,
2052,671486386088865792,https://twitter.com/dog_rates/status/671486386088865792/photo/1,10,10,
2051,671488513339211776,https://twitter.com/dog_rates/status/671488513339211776/photo/1,8,10,
2050,671497587707535361,https://twitter.com/dog_rates/status/671497587707535361/photo/1,11,10,
2049,671504605491109889,"https://twitter.com/dog_rates/status/671504605491109889/photo/1,https://twitter.com/dog_rates/status/671504605491109889/photo/1",11,10,
2048,671511350426865664,https://twitter.com/dog_rates/status/671511350426865664/photo/1,8,10,
2047,671518598289059840,https://twitter.com/dog_rates/status/671518598289059840/photo/1,9,10,
2046,671520732782923777,https://twitter.com/dog_rates/status/671520732782923777/photo/1,10,10,
2045,671528761649688577,https://twitter.com/dog_rates/status/671528761649688577/photo/1,10,10,
2044,671533943490011136,https://twitter.com/dog_rates/status/671533943490011136/photo/1,6,10,
2043,671536543010570240,https://twitter.com/dog_rates/status/671536543010570240/photo/1,9,10,
2042,671538301157904385,https://twitter.com/dog_rates/status/671538301157904385/photo/1,8,10,
2041,671542985629241344,https://twitter.com/dog_rates/status/671542985629241344/photo/1,10,10,
2040,671544874165002241,https://twitter.com/dog_rates/status/671544874165002241/photo/1,6,10,
2039,671547767500775424,"https://twitter.com/dog_rates/status/671547767500775424/photo/1,https://twitter.com/dog_rates/status/671547767500775424/photo/1",10,10,
2037,671561002136281088,https://twitter.com/dog_rates/status/671561002136281088/photo/1,13,10,
2035,671735591348891648,"https://twitter.com/dog_rates/status/671735591348891648/photo/1,https://twitter.com/dog_rates/status/671735591348891648/photo/1,https://twitter.com/dog_rates/status/671735591348891648/photo/1,https://twitter.com/dog_rates/status/671735591348891648/photo/1",11,10,
